                                    	768	  1	477.233	770.000	36.796    	     0	
                                    	2048	  1	386.321	2038.890	40.827    	     0	
                                    	1536	  1	498.454	1536.990	39.608    	     0	
                                    	384	  1	592.420	383.270	33.997    	     0	
                                    	512	  1	422.350	509.840	35.151    	     0	
                                    	256	  1	699.004	260.120	21.103    	     0	
 vidyo1                             	1024	  1	129.008	1026.960	31.800    	     0	
                                    	768	  1	130.862	772.850	28.617    	     0	
                                    	2048	  1	113.878	2043.300	41.621    	     0	
                                    	1536	  1	114.186	1535.050	40.944    	     0	
                                    	384	  1	138.583	392.360	25.715    	     0	
                                    	512	  1	137.046	519.450	25.704    	     0	
                                    	256	  1	118.058	265.510	25.749    	     0	
 new                                	1024	  1	796.292	1012.210	40.764    	     0	
                                    	768	  1	687.554	763.150	39.214    	     0	
                                    	2048	  1	489.726	1416.480	42.589    	     0	
                                    	1536	  1	470.670	1349.590	42.309    	     0	
                                    	384	  1	507.854	389.310	26.233    	     0	
                                    	512	  1	854.701	511.230	36.954    	     0	
                                    	256	  1	925.506	266.690	22.538    	     0	
 Tberg_3people_Motion               	1024	  1	100.691	1028.800	19.186    	     0	
                                    	768	  1	0.000	3611.950	17.614    	     0	
                                    	2048	  1	88.013	2051.060	24.733    	     0	
                                    	1536	  1	93.844	1538.070	24.671    	     0	
                                    	384	  1	0.000	0.000	0.000     	     0	
                                    	512	  1	41.453	0.000	22.602    	     0	
                                    	256	  1	0.000	0.000	0.000     	     0	
 Bourn                              	1024	  1	256.350	1022.900	39.323    	     0	
                                    	768	  1	258.477	767.650	38.156    	     0	
                                    	2048	  1	229.298	2037.650	41.616    	     0	
                                    	1536	  1	244.340	1532.530	40.765    	     0	
                                    	384	  1	262.197	385.570	22.284    	     0	
                                    	512	  1	289.248	513.600	23.167    	     0	
                                    	256	  1	0.000	633.400	22.133    	     0	
 MSHD_2peopl                        	1024	  1	321.673	1026.090	22.092    	     0	
                                    	768	  1	302.583	770.890	22.053    	     0	
                                    	2048	  1	212.369	2049.770	40.869    	     0	
                                    	1536	  1	298.583	1536.170	39.518    	     0	
                                    	384	  1	232.889	1440.910	18.552    	     0	
                                    	512	  1	343.674	515.030	19.781    	     0	
                                    	256	  1	138.710	0.000	19.827    	     0	
 Logi9000_smallmotion_bright_6      	1024	  1	344.924	987.810	36.399    	     0	
                                    	768	  1	417.113	755.990	34.993    	     0	
                                    	2048	  1	361.127	1585.740	44.922    	     0	
                                    	1536	  1	340.246	1347.990	44.380    	     0	
                                    	384	  1	446.567	384.210	25.731    	     0	
                                    	512	  1	359.666	512.160	30.636    	     0	
                                    	256	  1	430.129	256.810	23.560    	     0	
 MSlife_Zhuling_12                  	1024	  1	110.523	1035.990	27.036    	     0	
                                    	768	  1	103.965	783.190	25.481    	     0	
                                    	2048	  1	93.935	2055.960	31.871    	     0	
                                    	1536	  1	105.684	1543.450	31.752    	     0	
                                    	384	  1	0.000	4546.560	28.431    	     0	
                                    	512	  1	0.000	31764.480	24.678    	     0	
                                    	256	  1	0.000	23429.120	29.839    	     0	
